"","sci_subshed","Trash","Dumpsites","Effective Impervious Area","Temperature, water","pH","Dissolved oxygen (DO)","Escherichia coli","Turbidity","Conductivity","Nitrogen","Phosphorus, Total (as P)","Connectivity","Fish","Habitat","Macroinvertebrates"
"1","Battery Kemble Creek",7.3,10,10,10,10,10,6.93251339848009,10,1.32946707229891,1.1722461961956,10,10,3,4,7
"2","Broad Branch",8.01612903225806,8,7,10,9.49484604605374,10,4.23166221235187,10,1.39551171022171,2.53189561427939,10,10,2,4,6
"3","Dalecarlia Tributary",9.25,10,10,9.49281310022025,9.49429215204554,10,2.03461455298815,7.88130147148155,1.57723215112077,1.64140564675688,1.50035060003774,1,2,3,6
"4","Dumbarton Oaks",6.625,10,10,10,10,10,8.42187781520438,10,1.70833294620897,1.32807710704536,2.8679579947462,10,3,5,7
"5","Fenwick Branch",7.6,10,5,9.49476657878656,10,10,6.99800615555625,10,1.75285115573104,2.32427732195356,10,10,2,3,6
"6","Fort Chaplin Tributary",2.5,10,10,10,10,9.44055926057385,3.44018058633437,8.77121712686461,2.01955422326341,1.09628813677057,10,1,1,4,3
"7","Fort Davis Tributary",4.375,1,8,10,10,10,4.1395216595781,3.40381314529514,1.28521704525446,0.950005376536892,1.78543632558786,1,1,5,5
"8","Fort Dupont Tributary",7.32608695652174,4,10,10,10,8.19644566724721,3.79424716454652,3.667361623274,2.99612324159937,0.749069894299005,10,1,3,4,6
"9","Fort Stanton Tributary",4.85714285714286,10,10,9.49458887028815,10,10,3.24834872283472,8.24161710963122,2.14961627380251,0.950005376536892,10,1,1,3,7
"10","Foundry Branch",9.05882352941176,10,10,10,10,10,5.21182851525484,4.44089503244838,2.9615349603606,2.05698424129608,10,1,1,4,NA
"11","Hickey Run",6.79310344827586,10,10,9.32570696570447,10,9.31006357105735,1.72806667955316,7.52739827502453,1.92353016456839,0.749069894299005,2.7927191991411,10,6,2,4
"12","Klingle Valley Run",7.2,10,10,10,10,10,6.35160123623355,10,2.16336911176854,1.52948677601239,10,10,2,3,6
"13","Luzon Branch",5,10,7,10,10,10,2.91026656575332,5.16856938057974,1.68139016788936,NA,NA,10,2,3,6
"14","Melvin Hazen Valley Branch",8.09090909090909,10,10,9.49484222518253,10,10,4.64056171450196,6.54810880322023,1.95694969141548,2.32427732195356,10,10,4,7,7
"15","Nash Run",7.5,10,10,8.97058038494947,9.49162145959481,10,2.92898295492479,8.98648127446675,3.13741218623777,1.09628813677057,10,10,6,5,4
"16","Normanstone Creek",7.375,6,10,10,8.9888961180284,10,4.78938389986043,10,1.49230558316491,2.58568816872641,10,10,3,3,6
"17","Oxon Run",5.92857142857143,10,10,9.49482509665549,10,10,4.622249638095,7.26446748330366,2.73668115439965,0.677223449104501,0.963293817107756,10,4,4,4
"18","Pinehurst Branch",8.05882352941176,7,10,10,9.45561327204199,10,6.92792053368151,10,1.64381726305677,2.53189561427939,10,10,2,4,5
"19","Piney Branch",8.17391304347826,10,10,10,10,10,6.35128706729142,10,1.37920467622303,2.43350524767764,10,10,3,2,4
"20","Pope Branch",7,10,5,10,10,10,6.44457615945833,4.63848137391428,2.04750999680075,0.950005376536892,10,1,4,7,8
"21","Portal Branch",7,10,4,10,8.98692894850945,10,4.12054791378337,6.90674993457207,1.02448007263146,2.74453544775747,10,10,1,3,6
"22","Rock Creek",8.00389105058366,7,10,9.03991429859265,9.63931584712039,10,4.73796755831682,8.85351874858907,3.01758638876789,2.35646823207748,10,10,5,4,5
"23","Soapstone Creek",7.72413793103448,10,10,10,8.98764540312439,10,6.82222746277621,10,1.91408087817814,2.53189561427939,2.88434296861746,10,2,3,6
"24","Texas Avenue Tributary",6,10,10,10,10,10,3.2281473927396,7.3375495518317,1.74050116850977,0.837784090876652,10,1,1,4,3
"25","Watts Branch",3.31818181818182,7,10,9.32024027311975,9.03799489304956,9.94283156569335,3.38692324586958,8.10990235278729,2.71307679688268,0.80598894736693,4.92721388547487,10,4,3,6
