WATERSHED,SUBSHED,ACRES,TYPE,WATERSHED_SEGMENTS,SEWER_SYSTEM,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Rock Creek,Fenwick Branch,220.80597348,TMDL Subsheds,Rock Creek - Upper,MS4,temp_151,{59688367-A060-467B-A962-605C58D6EE95},,,,,1,0,0
Rock Creek,Portal Branch,71.44439112,TMDL Subsheds,Rock Creek - Upper,MS4,temp_152,{FED9FC4C-0557-4B84-AF6D-5132372EF7D2},,,,,2,0,0
Rock Creek,Rock Creek,38.0440117,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_55,{18277AA5-9DF4-4713-9CBF-B8C2887B5471},,,,,3,0,0
Rock Creek,Rock Creek,988.36609941,Direct Drain - Overland,Rock Creek - Upper,MS4,temp_177,{3C21D16E-947B-4D7A-A455-EB0CBDDC169F},,,,,4,0,0
Rock Creek,Luzon Branch,643.53041678,TMDL Subsheds,Rock Creek - Upper,MS4,temp_154,{0C9B758D-B04F-44DB-87B7-4D4D32B70A8E},,,,,5,0,0
Rock Creek,Rock Creek,98.22788832,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_58,{E4BEB8EC-5C52-40BF-8A14-79C44586CA68},,,,,6,0,0
Rock Creek,Rock Creek,4.40708516,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_57,{C22CB71E-F1AB-43B7-BD11-DF0D91FE62A2},,,,,7,0,0
Rock Creek,Rock Creek,27.52721227,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_22,{F633AD80-F5CB-4570-A91E-7817A066B1B2},,,,,8,0,0
Rock Creek,Rock Creek,2.02081231,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_56,{431200BE-771D-438D-A979-A683396010F9},,,,,9,0,0
Rock Creek,Rock Creek,11.78916633,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_89,{92B414DA-2895-4056-8323-6B61BB667EFD},,,,,10,0,0
Rock Creek,Rock Creek,0.60365316,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_60,{0D0BB311-0624-49AC-A616-338E9C794B59},,,,,11,0,0
Rock Creek,Pinehurst Branch,449.35021581,TMDL Subsheds,Rock Creek - Upper,MS4,temp_148,{DED83BED-F1F5-40C0-AC09-DE6B990E0812},,,,,12,0,0
Anacostia River,Anacostia River,1065.4821818,Direct Drain - Overland,Anacostia River - Upper,MS4,temp_172,{692C65CC-4656-40E2-ADC6-18736BB4874E},,,,,13,0,0
Rock Creek,Rock Creek,1.10635094,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_59,{FD0B59F4-0F09-4654-A46E-7F4B47C35104},,,,,14,0,0
Anacostia River,Anacostia River / Sligo Creek,47.68153114,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_116,{7C18E624-801F-42E7-8741-1EA6B7CD9687},,,,,15,0,0
Rock Creek,Rock Creek,26.86753191,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_183,{5508CCFA-5DA8-4F6B-93EA-F26B4926568B},,,,,16,0,0
Rock Creek,Rock Creek,16.79760542,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_54,{A6112F73-386B-4372-B2D0-2BB6247B8DB6},,,,,17,0,0
Rock Creek,Rock Creek / Piney Branch,2363.50708303,CSS Subsheds,Rock Creek - Lower,CSS,temp_181,{AA701D12-E864-4421-A5C9-7F9C17556E2E},,,,,18,0,0
Anacostia River,Anacostia River / Sligo Creek,14.1329192,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_117,{F311EB2E-8851-4146-8DFF-910B0B63D67F},,,,,19,0,0
Rock Creek,Bingham Run,166.67074006,TMDL Subsheds,Rock Creek - Upper,MS4,temp_166,{CF8C6243-0B8B-40B2-87C8-EFDE01359917},,,,,20,0,0
Rock Creek,Rock Creek,10.79962518,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_61,{BFA2EF1E-1EFB-4B72-A47C-09E92E396989},,,,,21,0,0
Rock Creek,Broad Branch,1148.45081753,TMDL Subsheds,Rock Creek - Upper,MS4,temp_149,{AF72BF20-E751-46EC-8508-5EAC5716730A},,,,,22,0,0
Anacostia River,Anacostia River / Sligo Creek,8.78038515,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_118,{330466AE-DC8D-4686-84EB-584195035193},,,,,23,0,0
Anacostia River,Anacostia River / Sligo Creek,117.99906025,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_119,{830AD8D4-099D-4DDB-AE67-4C0B39B86D13},,,,,24,0,0
Potomac River,Potomac River / To Little Falls,6.81924862,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_134,{6EF164E7-7E12-4FE0-8C17-A94FB33033AD},,,,,25,0,0
Rock Creek,Milkhouse Run,66.0496804,TMDL Subsheds,Rock Creek - Upper,MS4,temp_168,{79D121B5-ACDC-4152-A69D-15F5BB952368},,,,,26,0,0
Anacostia River,Anacostia River / Sligo Creek,36.475093,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_120,{13BBBCB5-CFF6-433C-B2F0-94C7D19C51B1},,,,,27,0,0
Anacostia River,Anacostia River / Sligo Creek,15.58963322,Direct Drain - Sewersheds,Anacostia River - Upper,MS4,temp_121,{7612AA4F-27C8-4B53-8DE7-AB5443157F78},,,,,28,0,0
Potomac River,Potomac River,626.43947547,Direct Drain - Overland,Potomac River - Upper,MS4,temp_175,{D88C3239-373F-4638-BCA0-A5E0E19EC45C},,,,,29,0,0
Rock Creek,Rock Creek,23.28771468,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_23,{29418F69-8ADB-411B-A79D-8217EA263F37},,,,,30,0,0
Potomac River,Potomac River / To Little Falls,94.90070123,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_128,{2CD5B8D3-FC5F-48D3-9B26-4D1C54F012F7},,,,,31,0,0
Anacostia River,Northwest Branch,1988.31561971,TMDL Subsheds,Anacostia River - Upper,MS4,temp_165,{DE3CACCF-A7F5-4928-ABA0-14080252C8FB},,,,,32,0,0
Rock Creek,Rock Creek,62.92288026,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_24,{AB08A540-D187-45F1-8BC9-AC79A5222AB9},,,,,33,0,0
Rock Creek,Rock Creek,1.69388293,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_25,{4EEF804B-71A3-401A-95F2-DA545138AB3E},,,,,34,0,0
Rock Creek,Rock Creek,5.05072609,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_31,{A11247A7-72AB-46F4-8F07-CC1B96713AB3},,,,,35,0,0
Potomac River,Potomac River / To Little Falls,22.13433837,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_127,{CF5D6E2C-FB75-49F8-A9CF-75DDABCDE329},,,,,36,0,0
Rock Creek,Rock Creek,3.42838948,Direct Drain - Sewersheds,Rock Creek - Upper,MS4,temp_26,{FBC1595D-A3A4-4A28-9134-CD552BA05988},,,,,37,0,0
Rock Creek,Piney Branch,158.96178915,TMDL Subsheds,Rock Creek - Lower,MS4,temp_188,{B334DC15-6E8C-4E80-B63F-42958F1FAB1C},,,,,38,0,0
Rock Creek,Blagden Run,203.79109322,TMDL Subsheds,Rock Creek - Upper,MS4,temp_167,{AFC1AEF6-0217-4275-99DD-7753A45F22FA},,,,,39,0,0
Potomac River,Potomac River / To Little Falls,3.94278315,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_126,{C3C8D479-7B59-454D-899C-39E30D1BBC39},,,,,40,0,0
Potomac River,Potomac River / Mill Creek,710.23813518,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_124,{515997B4-8023-4D99-8090-F9103F396ADB},,,,,41,0,0
Potomac River,Potomac River / To Little Falls,10.7949973,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_130,{7587E21A-5EB9-4E98-B16F-3B35593159F2},,,,,42,0,0
Potomac River,Potomac River / To Little Falls,24.26841804,Direct Drain - Sewersheds,Potomac River - Upper,MS4,temp_125,{D9577681-00F1-4F51-9217-9F63D55C26A3},,,,,43,0,0
Rock Creek,Soapstone Creek,516.37486172,TMDL Subsheds,Rock Creek - Upper,MS4,temp_153,{F98D2807-55BB-4732-9CA5-0BF228662B15},,,,,44,0,0
