"","sample_id","location_id","date","parameter","unit","result","qualifier"
"1","20C0524-02","TNS01",2020-03-03,"Nitrogen","mg/l",1.89,""
"2","20C0524-02","TNS01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.016,""
"3","20C0524-03","TDA01",2020-03-03,"Nitrogen","mg/l",3.5,""
"4","20C0524-03","TDA01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.12,""
"5","20C0524-04","TBK01",2020-03-03,"Nitrogen","mg/l",5.12,""
"6","20C0524-04","TBK01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"7","20C0524-06","TFB02",2020-03-03,"Nitrogen","mg/l",2.65,""
"8","20C0524-06","TFB02",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"9","20C0524-07","TDO01",2020-03-03,"Nitrogen","mg/l",4.46,""
"10","20C0524-07","TDO01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.046,""
"11","20C0524-10","RCR09",2020-03-03,"Nitrogen","mg/l",2.52,""
"12","20C0524-10","RCR09",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"13","20C0524-11","TKV01",2020-03-03,"Nitrogen","mg/l",3.8,""
"14","20C0524-11","TKV01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"15","20C0524-12","TPY01",2020-03-03,"Nitrogen","mg/l",2.09,""
"16","20C0524-12","TPY01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"17","20C0524-13","TMH01",2020-03-03,"Nitrogen","mg/l",2.24,""
"18","20C0524-13","TMH01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.021,""
"19","20C0524-14","TBR01",2020-03-03,"Nitrogen","mg/l",1.96,""
"20","20C0524-14","TBR01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"21","20C0524-15","TSO01",2020-03-03,"Nitrogen","mg/l",1.96,""
"22","20C0524-15","TSO01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.045,""
"23","20C0524-16","TLU01",2020-03-03,"Nitrogen","mg/l",2.52,""
"24","20C0524-16","TLU01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.042,""
"25","20C0524-17","TPI01",2020-03-03,"Nitrogen","mg/l",1.96,""
"26","20C0524-17","TPI01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"27","20C0524-18","TPO01",2020-03-03,"Nitrogen","mg/l",1.68,""
"28","20C0524-18","TPO01",2020-03-03,"Phosphorus, Total (as P)","mg/l",0.014,""
"29","20C0524-19","TFE01",2020-03-03,"Nitrogen","mg/l",2.24,""
"30","20C0524-19","TFE01",2020-03-03,"Phosphorus, Total (as P)",NA,0.01,"<"
"31","20C0524-20","TOR01",2020-03-02,"Nitrogen","mg/l",2.8,""
"32","20C0524-20","TOR01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.11,""
"33","20C0524-21","TFS01",2020-03-02,"Nitrogen","mg/l",1.96,""
"34","20C0524-21","TFS01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"35","20C0524-22","TTX27",2020-03-02,"Nitrogen","mg/l",2.24,""
"36","20C0524-22","TTX27",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.018,""
"37","20C0524-23","TFD01",2020-03-02,"Nitrogen","mg/l",1.96,""
"38","20C0524-23","TFD01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.055,""
"39","20C0524-24","TPB01",2020-03-02,"Nitrogen","mg/l",1.96,""
"40","20C0524-24","TPB01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"41","20C0524-25","TDU01",2020-03-02,"Nitrogen","mg/l",2.52,""
"42","20C0524-25","TDU01",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"43","20C0524-26","TFC01",2020-03-02,"Nitrogen","mg/l",1.68,""
"44","20C0524-26","TFC01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.012,""
"45","20C0524-29","TWB01",2020-03-02,"Nitrogen","mg/l",2.52,""
"46","20C0524-29","TWB01",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.016,""
"47","20C0524-30","TWB05",2020-03-02,"Nitrogen","mg/l",2.24,""
"48","20C0524-30","TWB05",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.14,""
"49","20C0524-31","TWB06",2020-03-02,"Nitrogen","mg/l",2.24,""
"50","20C0524-31","TWB06",2020-03-02,"Phosphorus, Total (as P)",NA,0.01,"<"
"51","20C0524-32","THR02",2020-03-02,"Nitrogen","mg/l",2.52,""
"52","20C0524-32","THR02",2020-03-02,"Phosphorus, Total (as P)","mg/l",0.028,""
"53","20C0524-35","TNA01",2020-03-02,"Nitrogen","mg/l",1.68,""
