"","sci_subshed","Dumpsites","Effective Impervious Area","Temperature, water","pH","Dissolved oxygen (DO)","Escherichia coli","Turbidity","Conductivity","Nitrogen","Phosphorus, Total (as P)","Connectivity","Fish","Habitat","Macroinvertebrates"
"1","Broad Branch",7,2,10,9.49484604605374,10,3.96201632162848,10,1.39551171022171,2.53189561427939,10,10,2,4,6
"2","Fort Davis Tributary",1,2,10,10,10,4.56378937695466,3.40381314529514,1.28521704525446,0.950005376536892,1.78543632558786,1,1,5,5
"3","Fort Dupont Tributary",2,8,10,10,8.19644566724721,4.39637929649141,3.667361623274,2.99612324159937,0.749069894299005,10,1,3,4,6
"4","Fort Stanton Tributary",4,1,9.49458887028815,10,10,3.49306972579195,8.24161710963122,2.14961627380251,0.950005376536892,10,1,1,3,7
"5","Normanstone Creek",4,1,10,8.9888961180284,10,4.46891175504634,10,1.49230558316491,2.58568816872641,10,10,3,3,6
"6","Oxon Run",8,1,9.49482509665549,10,10,4.08034192298863,7.26446748330366,2.73668115439965,0.677223449104501,0.963293817107756,10,4,4,4
"7","Pinehurst Branch",7,6,10,9.45561327204199,10,6.86529198320573,10,1.64381726305677,2.53189561427939,10,10,2,4,5
"8","Rock Creek",7,1,9.03991429859265,9.63931584712039,10,4.75298766520739,8.85351874858907,3.01758638876789,2.35646823207748,10,10,5,4,5
"9","Watts Branch",5,1,9.32024027311975,9.03799489304956,9.94283156569335,3.52383649640539,8.10990235278729,2.71307679688268,0.80598894736693,4.92721388547487,10,4,3,6
"10","Battery Kemble Creek",10,6,10,10,10,7.17122657287291,10,1.32946707229891,1.1722461961956,10,10,3,4,7
"11","Dalecarlia Tributary",10,4,9.49281310022025,9.49429215204554,10,2.26543812278347,7.88130147148155,1.57723215112077,1.64140564675688,1.50035060003774,1,2,3,6
"12","Dumbarton Oaks",10,4,10,10,10,8.54782802837774,10,1.70833294620897,1.32807710704536,2.8679579947462,10,3,5,7
"13","Foundry Branch",10,2,10,10,10,5.43588122762784,4.44089503244838,2.9615349603606,2.05698424129608,10,1,1,4,NA
"14","Fort Chaplin Tributary",10,2,10,10,9.44055926057385,3.66863632512962,8.77121712686461,2.01955422326341,1.09628813677057,10,1,1,4,3
"15","Fenwick Branch",10,3,9.49476657878656,10,10,6.8791964501452,10,1.75285115573104,2.32427732195356,10,10,2,3,6
"16","Hickey Run",10,9,9.32570696570447,10,9.31006357105735,1.71733915151806,7.52739827502453,1.92353016456839,0.749069894299005,2.7927191991411,10,6,2,4
"17","Klingle Valley Run",10,2,10,10,10,6.5392010054142,10,2.16336911176854,1.52948677601239,10,10,2,3,6
"18","Luzon Branch",10,1,10,10,10,2.74149789121648,5.16856938057974,1.68139016788936,2.13654818496565,2.91985046082419,10,2,3,6
"19","Reservation 630",10,3,9.49484222518253,10,10,4.89875662885154,6.54810880322023,1.95694969141548,2.32427732195356,10,10,4,7,7
"20","Nash Run",10,3,8.97058038494947,9.49162145959481,10,2.85130675778872,8.98648127446675,3.13741218623777,1.09628813677057,10,10,6,5,4
"21","Pope Branch",10,3,10,10,10,6.70307871860358,4.63848137391428,2.04750999680075,0.950005376536892,10,1,4,6,8
"22","Portal Branch",10,3,10,8.98692894850945,10,4.24400479220216,6.90674993457207,1.02448007263146,2.74453544775747,10,10,1,3,6
"23","Piney Branch",10,1,10,10,10,6.24485935433058,10,1.37920467622303,2.43350524767764,10,10,3,2,4
"24","Soapstone Creek",10,1,10,8.98764540312439,10,6.80566463860387,10,1.91408087817814,2.53189561427939,2.88434296861746,10,2,3,6
"25","Texas Avenue Tributary",10,3,10,10,10,3.54658539291944,7.3375495518317,1.74050116850977,0.837784090876652,10,1,1,5,3
