"","sci_subshed","index","index_score","max_index_score","index_percent","index_grade","index_underscore","image_file"
"1","Battery Kemble Creek","Aquatic Life",24,40,60,"D","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_D.png"
"2","Battery Kemble Creek","Human Health",24.6956200509589,30,82.3187335031962,"B","Human_Health","template_files/graphic_pieces/Human_Health_B.png"
"3","Battery Kemble Creek","Hydrology",6,10,60,"D","Hydrology","template_files/graphic_pieces/Hydrology_D.png"
"4","Battery Kemble Creek","Water Quality",52.4645641785022,70,74.9493773978602,"C","Water_Quality","template_files/graphic_pieces/Water_Quality_C.png"
"5","Broad Branch","Aquatic Life",22,40,55,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"6","Broad Branch","Human Health",19.1106609633274,30,63.7022032110914,"D","Human_Health","template_files/graphic_pieces/Human_Health_D.png"
"7","Broad Branch","Hydrology",2,10,20,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"8","Broad Branch","Water Quality",53.0557454821391,70,75.7939221173416,"C","Water_Quality","template_files/graphic_pieces/Water_Quality_C.png"
"9","Dalecarlia Tributary","Aquatic Life",12,40,30,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"10","Dalecarlia Tributary","Human Health",21.0492422070164,30,70.1641406900548,"C","Human_Health","template_files/graphic_pieces/Human_Health_C.png"
"11","Dalecarlia Tributary","Hydrology",4,10,40,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"12","Dalecarlia Tributary","Water Quality",39.1895419668272,70,55.9850599526102,"F","Water_Quality","template_files/graphic_pieces/Water_Quality_F.png"
"13","Dumbarton Oaks","Aquatic Life",25,40,62.5,"D","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_D.png"
"14","Dumbarton Oaks","Human Health",26.444544113122,30,88.1484803770733,"B","Human_Health","template_files/graphic_pieces/Human_Health_B.png"
"15","Dumbarton Oaks","Hydrology",4,10,40,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"16","Dumbarton Oaks","Water Quality",45.914271522163,70,65.5918164602328,"D","Water_Quality","template_files/graphic_pieces/Water_Quality_D.png"
"17","Fenwick Branch","Aquatic Life",21,40,52.5,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"18","Fenwick Branch","Human Health",25.3427147794909,30,84.4757159316365,"B","Human_Health","template_files/graphic_pieces/Human_Health_B.png"
"19","Fenwick Branch","Hydrology",3,10,30,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"20","Fenwick Branch","Water Quality",53.1109238663879,70,75.8727483805542,"C","Water_Quality","template_files/graphic_pieces/Water_Quality_C.png"
"21","Fort Chaplin Tributary","Aquatic Life",9,40,22.5,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"22","Fort Chaplin Tributary","Human Health",15.6432834109665,30,52.1442780365551,"F","Human_Health","template_files/graphic_pieces/Human_Health_F.png"
"23","Fort Chaplin Tributary","Hydrology",2,10,20,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"24","Fort Chaplin Tributary","Water Quality",50.1900766881352,70,71.7001095544788,"C","Water_Quality","template_files/graphic_pieces/Water_Quality_C.png"
"25","Fort Davis Tributary","Aquatic Life",12,40,30,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"26","Fort Davis Tributary","Human Health",12.4955875847145,30,41.6519586157152,"F","Human_Health","template_files/graphic_pieces/Human_Health_F.png"
"27","Fort Davis Tributary","Hydrology",2,10,20,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"28","Fort Davis Tributary","Water Quality",38.2799476047859,70,54.6856394354085,"F","Water_Quality","template_files/graphic_pieces/Water_Quality_F.png"
"29","Fort Dupont Tributary","Aquatic Life",14,40,35,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"30","Fort Dupont Tributary","Human Health",13.1579030325387,30,43.859676775129,"F","Human_Health","template_files/graphic_pieces/Human_Health_F.png"
"31","Fort Dupont Tributary","Hydrology",8,10,80,"B","Hydrology","template_files/graphic_pieces/Hydrology_B.png"
"32","Fort Dupont Tributary","Water Quality",43.5542012115715,70,62.2202874451022,"D","Water_Quality","template_files/graphic_pieces/Water_Quality_D.png"
"33","Fort Stanton Tributary","Aquatic Life",12,40,30,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"34","Fort Stanton Tributary","Human Health",13.86264200004,30,46.2088066668,"F","Human_Health","template_files/graphic_pieces/Human_Health_F.png"
"35","Fort Stanton Tributary","Hydrology",1,10,10,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"36","Fort Stanton Tributary","Water Quality",53.1527993548996,70,75.9325705069995,"C","Water_Quality","template_files/graphic_pieces/Water_Quality_C.png"
"37","Foundry Branch","Aquatic Life",6,30,20,"F","Aquatic_Life","template_files/graphic_pieces/Aquatic_Life_F.png"
"38","Foundry Branch","Human Health",24.5826005585237,30,81.9420018617457,"B","Human_Health","template_files/graphic_pieces/Human_Health_B.png"
"39","Foundry Branch","Hydrology",2,10,20,"F","Hydrology","template_files/graphic_pieces/Hydrology_F.png"
"40","Foundry Branch","Water Quality",49.0909916485046,70,70.1299880692922,"C","Water_Quality","template_files/graphic_pieces/Water_Quality_C.png"
